prefecture,prefecture_norm,region,capital,island
Aichi-ken,Aichi,Chubu,Nagoya-shi,Honshu
Akita-ken,Akita,Tohoku,Akita-shi,Honshu
Aomori-ken,Aomori,Tohoku,Aomori-shi,Honshu
Chiba-ken,Chiba,Kanto,Chiba-shi,Honshu
Ehime-ken,Ehime,Shikoku,Matsuyama-shi,Shikoku
Fukui-ken,Fukui,Chubu,Fukui-shi,Honshu
Fukuoka-ken,Fukuoka,Kyushu,Fukuoka-shi,Kyushu
Fukushima-ken,Fukushima,Tohoku,Fukushima-shi,Honshu
Gifu-ken,Gifu,Chubu,Gifu-shi,Honshu
Gunma-ken,Gunma,Kanto,Maebashi-shi,Honshu
Hiroshima-ken,Hiroshima,Chugoku,Hiroshima-shi,Honshu
Hokkaido,Hokkaido,Hokkaido,Sapporo-shi,Hokkaido
Hyogo-ken,Hyogo,Kansai,Kobe-shi,Honshu
Ibaraki-ken,Ibaraki,Kanto,Mito-shi,Honshu
Ishikawa-ken,Ishikawa,Chubu,Kanazawa-shi,Honshu
Iwate-ken,Iwate,Tohoku,Morioka-shi,Honshu
Kagawa-ken,Kagawa,Shikoku,Takamatsu-shi,Shikoku
Kagoshima-ken,Kagoshima,Kyushu,Kagoshima-shi,Kyushu
Kanagawa-ken,Kanagawa,Kanto,Yokohama-shi,Honshu
Kochi-ken,Kochi,Shikoku,Kochi-shi,Shikoku
Kumamoto-ken,Kumamoto,Kyushu,Kumamoto-shi,Kyushu
Kyoto-fu,Kyoto,Kansai,Kyoto-shi,Honshu
Mie-ken,Mie,Kansai,Tsu-shi,Honshu
Miyagi-ken,Miyagi,Tohoku,Sendai-shi,Honshu
Miyazaki-ken,Miyazaki,Kyushu,Miyazaki-shi,Kyushu
Nagano-ken,Nagano,Chubu,Nagano-shi,Honshu
Nagasaki-ken,Nagasaki,Kyushu,Nagasaki-shi,Kyushu
Nara-ken,Nara,Kansai,Nara-shi,Honshu
Niigata-ken,Niigata,Chubu,Niigata-shi,Honshu
Oita-ken,Oita,Kyushu,oita-shi,Kyushu
Okayama-ken,Okayama,Chugoku,Okayama-shi,Honshu
Okinawa-ken,Okinawa,Kyushu,Naha-shi,Ryukyu Islands
Osaka-fu,Osaka,Kansai,osaka-shi,Honshu
Saga-ken,Saga,Kyushu,Saga-shi,Kyushu
Saitama-ken,Saitama,Kanto,Saitama-shi,Honshu
Shiga-ken,Shiga,Kansai,otsu-shi,Honshu
Shimane-ken,Shimane,Chugoku,Matsue-shi,Honshu
Shizuoka-ken,Shizuoka,Chubu,Shizuoka-shi,Honshu
Tochigi-ken,Tochigi,Kanto,Utsunomiya-shi,Honshu
Tokushima-ken,Tokushima,Shikoku,Tokushima-shi,Shikoku
Tokyo-to,Tokyo,Kanto,Shinjuku-ku,Honshu
Tottori-ken,Tottori,Chugoku,Tottori-shi,Honshu
Toyama-ken,Toyama,Chubu,Toyama-shi,Honshu
Wakayama-ken,Wakayama,Kansai,Wakayama-shi,Honshu
Yamagata-ken,Yamagata,Tohoku,Yamagata-shi,Honshu
Yamaguchi-ken,Yamaguchi,Chugoku,Yamaguchi-shi,Honshu
Yamanashi-ken,Yamanashi,Chubu,Kofu-shi,Honshu
